video_id,views,likes,duration,category,has_questions,has_exclamations,has_numbers,has_emoji,title_caps_ratio,emoji_count,title_word_count,title_char_count,clickbait_count,clickbait_ratio,has_clickbait,des_caps_ratio,des_word_count,des_char_count,des_avg_word_len,channel_word_count,channel_char_count,channel_freq,tags_count,days_since_upload,upload_month,upload_day,upload_hour,is_weekend,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,category_label
aYkwaAvg7zY,22800739,48000,255,5,0,0,0,0,0.0999999000001,0,9,60,0,0.0,0,0.0,14,82,4.92856790816578,2,17,1,35,228,3,8,0,0,0,0,0,0,0,1,0,Music
GdRdp11m-aQ,2723828,21000,6,5,0,0,1,0,0.0,0,9,64,0,0.0,0,0.0,13,98,5.999995384618935,2,13,1,26,102,7,12,0,0,0,0,0,0,0,1,0,Music
SeHTba9igVQ,546424,11000,4567,5,0,0,1,1,0.0,2,14,93,2,0.1428570408163994,1,0.0,17,150,7.705877820071871,2,11,1,19,65,8,18,0,0,1,0,0,0,0,0,0,Music
-rsZ06q8YSs,9292,443,5696,5,0,0,0,0,0.49999950000050003,1,9,51,2,0.22222197530891633,1,0.0,22,160,6.227269896695502,3,16,1,23,1,10,21,0,0,0,1,0,0,0,0,0,Music
1-mo8CIFsEM,3518045,17000,4265,5,0,0,1,0,0.1333332444445037,0,14,86,0,0.0,0,0.08333329861112558,21,131,4.999997619048753,2,13,1,23,88,7,26,0,0,0,0,0,0,0,1,0,Music
neOasLBWoy0,43733894,243000,185,5,0,0,0,0,0.05263155124655198,0,12,93,0,0.0,0,0.05263155124655198,18,127,5.999996666668519,2,6,1,25,41,9,11,0,0,0,0,0,1,0,0,0,Music
jpZC476jE7c,22118325,195000,305,5,0,0,0,0,0.0714285204081997,0,12,74,0,0.0,0,0.0,7,31,3.571423469395044,2,13,1,37,56,8,27,0,0,0,0,1,0,0,0,0,Music
oXJXNLVEZUc,309457,20000,191,5,0,0,0,0,0.0,0,9,47,0,0.0,0,0.0,11,61,4.4545414049623595,2,11,1,29,2,10,20,0,0,1,0,0,0,0,0,0,Music
pCv0oP9JLKw,729091,24000,179,5,0,0,1,0,0.0,0,7,49,0,0.0,0,0.0,16,125,6.749995781252637,2,13,2,3,2,10,20,0,0,1,0,0,0,0,0,0,Music
xlwiqNf1Soo,121052,8300,628,5,0,0,1,0,0.0,0,5,42,0,0.0,0,0.0,18,122,5.777774567903018,2,14,1,3,5,10,17,0,1,0,0,0,0,1,0,0,Music
iN79dWKuA3o,2676392,12000,2038,5,0,0,1,1,0.7142853741498219,4,16,93,2,0.12499992187504883,1,0.7142853741498219,16,93,4.624997109376807,3,16,1,1,121,6,23,0,0,1,0,0,0,0,0,0,Music
izbydia9jz4,105288987,609000,6,5,0,0,0,0,0.0,0,13,93,0,0.0,0,0.1428570408163994,11,81,6.18181256198858,3,16,1,19,189,4,16,0,0,0,0,1,0,0,0,0,Music
VYUHabpY7ks,1634526,12000,781,5,0,0,1,0,0.6363630578517656,0,9,59,0,0.0,0,0.0,4,47,10.99997250006875,1,4,1,33,24,9,28,0,1,0,0,0,0,0,0,1,Music
LXXkiUKDK4w,265196904,1700000,8335,2,0,0,0,0,0.0,0,9,69,0,0.0,0,0.025641019066405365,39,201,4.179486107824075,2,10,2,24,4044,9,26,0,1,0,0,0,0,1,0,0,Entertainment
smLNCbYNQP4,58734351,393000,15,2,0,0,1,0,0.0,0,10,72,0,0.0,0,0.020408159100375693,47,261,4.510637338162268,2,10,2,23,1481,10,2,0,0,0,0,0,0,0,1,0,Entertainment
21bCrsGt050,9450198,83000,203,2,0,0,1,0,0.0,0,7,49,0,0.0,0,0.0,4,30,5.9999850000375,1,4,1,45,722,10,31,0,0,0,1,0,0,0,0,0,Entertainment
FF---X_todc,236347,10000,693,2,0,0,1,1,0.12499992187504883,1,12,76,0,0.0,0,0.39999920000160005,2,4,0.9999950000249999,2,17,5,28,16,10,6,0,0,1,0,0,0,0,0,0,Entertainment
iUzrWSaiSTc,517344,19000,648,2,0,0,1,1,0.19999986666675557,9,13,84,0,0.0,0,0.0,5,45,8.1999836000328,2,17,5,14,69,8,14,0,0,0,0,0,1,0,0,0,Entertainment
zHC0EwPF074,19521378,96000,2613,2,0,0,0,0,0.0,0,13,90,0,0.0,0,0.0,16,126,6.624995859377588,2,13,3,19,789,8,25,0,1,0,0,0,0,1,0,0,Entertainment
Z5-zT3QD_MI,755076,36000,893,2,0,0,1,0,0.0,0,11,86,0,0.0,0,0.0,61,385,5.327867979038036,2,20,1,20,40,9,12,0,1,0,0,0,0,1,0,0,Entertainment
eFDyhXo65DA,84740,1600,3210,2,1,0,0,0,0.0,0,4,20,0,0.0,0,0.0399999840000064,25,139,4.5999981600007365,4,25,2,8,8,10,14,0,0,0,1,0,0,0,0,0,Entertainment
H7UwSlW4G_U,6012916,29000,2613,2,0,0,0,0,0.0,0,13,87,0,0.0,0,0.0,16,123,6.624995859377588,1,7,1,19,783,8,31,0,0,0,0,0,1,0,0,0,Entertainment
oo8VgjCkUVE,20005622,189000,897,2,0,0,0,0,0.0,0,13,95,0,0.0,0,0.0,113,588,4.212389007753185,2,13,3,30,2850,1,2,0,0,0,1,0,0,0,0,0,Entertainment
wS-0khMzOOg,517737,11000,980,2,0,0,0,0,0.06249996093752441,0,16,92,0,0.0,0,0.027397256520923764,71,408,4.732393699662859,2,21,5,3,33,9,19,0,1,0,0,0,0,1,0,0,Entertainment
luRbeO6yRAY,27429562,116000,901,2,0,0,1,0,0.0,0,9,64,1,0.11111098765445816,1,0.0,25,182,6.199997520000992,2,13,3,28,3683,9,22,0,0,0,1,0,0,0,0,0,Entertainment
f92Pa3DWsaw,13706282,105000,203,2,0,0,0,0,0.0,0,10,73,0,0.0,0,0.1923076183432237,25,164,5.519997792000884,2,13,1,30,2267,8,8,0,0,0,0,0,1,0,0,0,Entertainment
WuzP5CHh0BE,10457477,60000,30,2,0,0,0,0,0.0,0,12,92,0,0.0,0,0.0,12,84,5.999995000004167,2,15,1,5,845,6,30,0,1,0,0,0,0,1,0,0,Entertainment
TDnaqQesFHI,109429,2300,1352,2,0,0,0,0,0.39999920000160005,0,5,41,0,0.0,0,0.9999991666673611,12,78,5.583328680559433,4,25,2,7,14,10,8,0,0,0,0,1,0,0,0,0,Entertainment
Vu4jlm4jrug,2906638,16000,229,2,0,0,1,0,0.0,0,9,65,0,0.0,0,0.0,11,79,5.909085537194966,2,17,2,27,1209,7,1,0,1,0,0,0,0,1,0,0,Entertainment
CS0cQlbrZK0,1299586,12000,185,2,0,0,0,0,0.0,0,2,13,0,0.0,0,0.16666657407412552,14,101,5.928567193880576,2,12,1,6,2504,12,14,0,1,0,0,0,0,1,0,0,Entertainment
