video_id,views,likes,duration,category,has_questions,has_exclamations,has_numbers,has_emoji,title_caps_ratio,emoji_count,title_word_count,title_char_count,clickbait_count,clickbait_ratio,has_clickbait,des_caps_ratio,des_word_count,des_char_count,des_avg_word_len,channel_word_count,channel_char_count,channel_freq,tags_count,days_since_upload,upload_month,upload_day,upload_hour,is_weekend,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,category_label
25jHHpukuWs,12286671,98000,1766,6,0,0,1,1,0.0,2,16,95,2,0.12499992187504883,1,0.0,1,16,15.999840001599983,2,10,1,16,81,8,2,0,0,0,0,0,0,0,1,0,Music
biLk0h2MXOc,54539,322,4150,6,0,0,1,1,0.5833328472226273,3,10,56,0,0.0,0,0.0,7,73,9.142844081651312,2,10,1,26,7,10,15,0,0,0,0,1,0,0,0,0,Music
VYUHabpY7ks,1634526,12000,781,6,0,0,1,0,0.6363630578517656,0,9,59,0,0.0,0,0.0,4,47,10.99997250006875,1,4,1,33,24,9,28,0,1,0,0,0,0,0,0,1,Music
Ybx47C-qmZ0,726163,2200,7988,6,0,0,1,1,0.7777769135812072,4,8,52,2,0.24999968750039064,1,0.055555524691375174,15,84,4.533330311113126,3,15,1,1,81,8,2,0,0,0,0,0,0,0,1,0,Music
1Nt9aJQvY48,2185383,102000,56,6,0,0,0,0,0.11111098765445816,0,9,43,1,0.11111098765445816,1,0.0999999000001,10,79,6.9999930000070005,2,11,1,27,1780,12,7,0,0,1,0,0,0,0,0,0,Music
tSWZ5wm0LTE,3906,14,131,6,0,0,0,0,0.0,1,11,75,0,0.0,0,0.0,15,120,6.799995466669689,2,15,4,19,329,11,27,0,0,0,0,1,0,0,0,0,Music
l0d_6edkZtM,3536,30,212,6,0,0,0,0,0.0,3,5,30,0,0.0,0,0.0,13,94,6.07691840237046,2,12,1,20,89,7,25,0,1,0,0,0,0,1,0,0,Music
b_U_uT_qhIM,1173,6,304,6,0,0,0,0,0.0,1,13,86,0,0.0,0,0.0,27,199,6.222219917696327,2,15,4,17,316,12,10,0,0,0,1,0,0,0,0,0,Music
cDCCe7sAr74,4511,68,5059,6,0,0,0,1,0.0,2,13,85,2,0.15384603550304962,1,0.0,41,239,4.8292671148128985,2,14,14,15,40,9,12,0,1,0,0,0,0,1,0,0,Music
gZJ4AnTKw2Q,350,4,1523,6,0,0,1,0,0.0,0,9,65,0,0.0,0,0.06451610822061025,31,177,4.612901737773633,2,6,1,5,301,12,25,0,0,0,0,1,0,0,0,0,Music
c1rvETkUUhI,186924,751,263,6,0,1,0,0,0.0,3,4,27,0,0.0,0,0.0,15,146,8.466661022225985,2,15,1,24,680,12,12,0,0,0,1,0,0,0,0,0,Music
8vh28BDLOws,197667,1100,234,6,0,0,0,0,0.0,0,7,44,0,0.0,0,0.9999988888901234,9,67,6.444437283958574,2,9,1,26,369,10,18,0,1,0,0,0,0,1,0,0,Music
Gs8kvqfPfhE,67546,1500,156,6,0,0,0,0,0.0999999000001,0,8,55,0,0.0,0,0.15384609467457896,26,180,5.92307464497129,1,10,1,15,324,12,2,0,0,1,0,0,0,0,0,0,Music
ZDVe2rsxxwM,802,9,15,6,0,0,1,0,0.0,0,11,88,0,0.0,0,0.0,22,182,7.272723966943651,3,13,1,3,315,12,11,0,0,0,0,1,0,0,0,0,Music
C1yLniIl0bo,21351,239,353,6,0,0,0,0,0.0,0,11,66,0,0.0,0,0.017857139668367914,56,308,4.517856336097083,2,12,10,13,668,12,24,0,1,0,0,0,0,0,0,1,Music
cqvvddGjmbY,20630120,406000,92,6,0,0,0,0,0.9999950000249999,0,2,15,0,0.0,0,0.30769207100609924,10,70,5.6999943000057005,1,4,1,4,57,8,26,0,0,0,1,0,0,0,0,0,Music
zWrWg4DtuIU,11170,60,5119,6,0,0,0,1,0.0,2,13,85,2,0.15384603550304962,1,0.0,41,239,4.8292671148128985,2,14,14,15,34,9,18,0,0,0,0,0,1,0,0,0,Music
iKEOGFXvyck,506,7,1957,6,0,1,1,1,0.0,3,14,88,1,0.0714285204081997,1,0.0,19,205,9.789468531858668,1,9,1,25,304,12,22,0,1,0,0,0,0,0,0,1,Music
A5PtWQEBLhY,8000,44,4233,6,0,0,0,1,0.0,1,10,62,2,0.1999998000002,1,0.0,37,225,5.081079707816294,2,14,14,15,319,12,7,0,0,0,0,0,0,0,1,0,Music
DcwMchv3HO4,90375,298,5374,6,0,0,0,1,0.0,1,10,62,2,0.1999998000002,1,0.0,37,225,5.081079707816294,2,14,14,15,344,11,12,0,0,0,1,0,0,0,0,0,Music
9m0ytgiBZP0,356272,543,7683,6,0,0,0,1,0.0,1,10,62,2,0.1999998000002,1,0.0,37,225,5.081079707816294,2,14,14,15,350,11,6,0,0,0,0,1,0,0,0,0,Music
FTg1bW6yAtE,307899,515,5374,6,0,0,0,1,0.0,1,10,62,2,0.1999998000002,1,0.0,37,225,5.081079707816294,2,14,14,15,347,11,9,0,0,0,0,0,0,0,1,0,Music
16wORQh1yig,28390,128,11700,6,0,0,0,1,0.0,1,10,62,2,0.1999998000002,1,0.0,37,225,5.081079707816294,2,14,14,15,407,9,10,0,0,0,1,0,0,0,0,0,Music
EA0piL8tAds,1043,9,233,6,0,0,0,0,0.0,0,12,65,0,0.0,0,0.0,2,11,4.999975000125,2,8,4,2,309,12,17,0,0,0,1,0,0,0,0,0,Music
o7aY1gyVfz4,24099,916,526,6,0,0,1,0,0.12499984375019532,0,8,35,1,0.12499984375019532,1,0.0,3,49,15.333282222392592,1,14,1,2,299,12,27,0,1,0,0,0,0,1,0,0,Music
mJxuApzFP6M,158968,341,5374,6,0,0,0,1,0.0,1,10,62,2,0.1999998000002,1,0.0,37,225,5.081079707816294,2,14,14,15,345,11,11,0,0,1,0,0,0,0,0,0,Music
BTxDFkOftFQ,664,11,128,6,1,0,0,0,0.0714285204081997,1,12,70,0,0.0,0,0.12499992187504883,15,108,5.999996000002667,2,15,4,18,471,7,8,0,0,1,0,0,0,0,0,0,Music
inbPKUWhyTQ,490,12,135,6,0,0,0,0,0.0,1,11,73,0,0.0,0,0.0,15,118,6.6666622222251855,2,15,4,19,380,10,7,0,0,1,0,0,0,0,0,0,Music
8fDuhAmF5HU,183567,419,3830,6,0,0,0,1,0.0,1,10,62,2,0.1999998000002,1,0.0,37,225,5.081079707816294,2,14,14,15,340,11,16,0,0,0,0,0,0,0,1,0,Music
axNfvLAyy9E,17942,355,212,6,0,1,0,0,0.0,0,13,65,0,0.0,0,0.04166664930556279,24,193,7.041663732640112,2,12,1,18,677,12,15,0,1,0,0,0,0,1,0,0,Music
_PGV7ClmcgI,6646,70,8772,6,0,0,0,1,0.0,1,10,62,2,0.1999998000002,1,0.0,37,225,5.081079707816294,2,14,14,15,414,9,3,0,0,0,1,0,0,0,0,0,Music
apr0CvDMKDs,24768,77,9252,6,0,0,0,1,0.0,1,13,87,2,0.15384603550304962,1,0.0,37,225,5.081079707816294,2,14,14,15,323,12,3,0,0,0,1,0,0,0,0,0,Music
zkOsz8IXe5E,832,5,305,6,0,0,0,0,0.0,0,12,68,0,0.0,0,0.0,15,103,5.933329377780415,4,21,1,9,635,1,26,0,1,0,0,0,0,1,0,0,Music
LXXkiUKDK4w,265196904,1700000,8335,2,0,0,0,0,0.0,0,9,69,0,0.0,0,0.025641019066405365,39,201,4.179486107824075,2,10,3,24,4044,9,26,0,1,0,0,0,0,1,0,0,Entertainment
IsPFDzAGb4A,58716881,379000,216,2,0,0,0,0,0.0,0,7,51,0,0.0,0,0.0,32,210,5.562498261719293,2,12,1,34,5802,12,3,0,0,0,0,0,1,0,0,0,Entertainment
smLNCbYNQP4,58734351,393000,15,2,0,0,1,0,0.0,0,10,72,0,0.0,0,0.020408159100375693,47,261,4.510637338162268,2,10,3,23,1481,10,2,0,0,0,0,0,0,0,1,0,Entertainment
hx4JcFqtLkw,86212,274,72,2,0,0,0,0,0.24999968750039064,0,8,50,1,0.12499984375019532,1,0.04166664930556279,24,149,5.2499978125009115,2,21,14,1,13,10,9,0,0,0,0,0,1,0,0,0,Entertainment
21bCrsGt050,9450198,83000,203,2,0,0,1,0,0.0,0,7,49,0,0.0,0,0.0,4,30,5.9999850000375,1,4,1,45,722,10,31,0,0,0,1,0,0,0,0,0,Entertainment
7paft6hJXls,602254,10000,248,2,0,0,1,0,0.0,0,5,23,0,0.0,0,0.0,76,439,4.789473054016703,2,21,14,4,11,10,11,0,0,0,0,0,0,0,1,0,Entertainment
FF---X_todc,236347,10000,693,2,0,0,1,1,0.12499992187504883,1,12,76,0,0.0,0,0.39999920000160005,2,4,0.9999950000249999,2,17,11,28,16,10,6,0,0,1,0,0,0,0,0,0,Entertainment
OQ4YYRdzJR8,402254,18000,717,2,0,0,1,0,0.11764698961941787,0,14,94,0,0.0,0,0.012658226245794145,78,390,4.01281999835641,2,17,11,25,38,9,14,0,1,0,0,0,0,0,0,1,Entertainment
iUzrWSaiSTc,517344,19000,648,2,0,0,1,1,0.19999986666675557,9,13,84,0,0.0,0,0.0,5,45,8.1999836000328,2,17,11,14,69,8,14,0,0,0,0,0,1,0,0,0,Entertainment
zHC0EwPF074,19521378,96000,2613,2,0,0,0,0,0.0,0,13,90,0,0.0,0,0.0,16,126,6.624995859377588,2,13,4,19,789,8,25,0,1,0,0,0,0,1,0,0,Entertainment
Z5-zT3QD_MI,755076,36000,893,2,0,0,1,0,0.0,0,11,86,0,0.0,0,0.0,61,385,5.327867979038036,2,20,4,20,40,9,12,0,1,0,0,0,0,1,0,0,Entertainment
eFDyhXo65DA,84740,1600,3210,2,1,0,0,0,0.0,0,4,20,0,0.0,0,0.0399999840000064,25,139,4.5999981600007365,4,25,3,8,8,10,14,0,0,0,1,0,0,0,0,0,Entertainment
H7UwSlW4G_U,6012916,29000,2613,2,0,0,0,0,0.0,0,13,87,0,0.0,0,0.0,16,123,6.624995859377588,1,7,1,19,783,8,31,0,0,0,0,0,1,0,0,0,Entertainment
EiiQawbNKKw,179835,10000,1212,2,0,0,1,0,0.0,0,10,71,0,0.0,0,0.0,45,282,5.2888877135805075,2,20,4,19,92,7,22,0,0,0,1,0,0,0,0,0,Entertainment
0BCRu68302I,19115341,117000,990,2,0,0,0,0,0.0,0,10,88,0,0.0,0,0.0,48,281,4.7916656684029855,2,13,4,21,1930,7,10,0,1,0,0,0,0,1,0,0,Entertainment
oo8VgjCkUVE,20005622,189000,897,2,0,0,0,0,0.0,0,13,95,0,0.0,0,0.0,113,588,4.212389007753185,2,13,4,30,2850,1,2,0,0,0,1,0,0,0,0,0,Entertainment
wS-0khMzOOg,517737,11000,980,2,0,0,0,0,0.06249996093752441,0,16,92,0,0.0,0,0.027397256520923764,71,408,4.732393699662859,2,21,14,3,33,9,19,0,1,0,0,0,0,1,0,0,Entertainment
